formatted_address,province,city,district,adcode,lng,lat,Name,keyword,lng_wgs84,lat_wgs84,height,location,Rate,备注
江苏省镇江市润州区金山公园,江苏省,ZJ,润州区,321111,119.41458,32.21858,镇江金山公园,金山,119.4091183,32.22045417,3,"119.41458,32.21858",5A,镇江金山.焦山.北固山景区景点
江苏省镇江市句容市茅山苏省茅山风景区,江苏省,ZJ,句容市,321183,119.314299,31.78149,镇江茅山风景区,茅山,119.3089893,31.78339188,326,"119.314299,31.78149",5A,
江苏省镇江市京口区焦山风景区,江苏省,ZJ,京口区,321102,119.488446,32.23202,镇江焦山风景区,焦山,119.4831819,32.23404154,6,"119.488446,32.23202",5A,镇江金山.焦山.北固山景区景点
江苏省镇江市句容市国家森林公园,江苏省,ZJ,句容市,321183,119.093133,32.14045,镇江宝华山国家森林公园,宝华山,119.0876472,32.142314,65,"119.093133,32.14045",4A,
江苏省常州市钟楼区亚细亚影视城,江苏省,CZ,钟楼区,320404,119.947813,31.78206,常州亚细亚影视城,亚细亚,119.9431156,31.78415941,17,"119.947813,31.78206",NA,被撤销等级
江苏省连云港市海州区渔湾风景区,江苏省,LYG,海州区,320706,119.335871,34.64427,连云港渔湾风景区,渔湾,119.330233,34.64516785,189,"119.335871,34.64427",4A,
江苏省南京市秦淮区朝天宫景区,江苏省,NJ,秦淮区,320104,118.775271,32.03433,南京朝天宫景区,朝天宫,118.7700599,32.03637328,15,"118.775271,32.03433",4A,
江苏省南京市玄武区玄武湖景区,江苏省,NJ,玄武区,320102,118.798908,32.07235,南京玄武湖景区,玄武湖,118.7937268,32.07443142,9,"118.798908,32.07235",4A,
江苏省无锡市滨湖区蠡园公园,江苏省,WX,滨湖区,320211,120.259931,31.51795,无锡蠡园公园,蠡园,120.2553561,31.51989817,6,"120.259931,31.51795",4A,
江苏省无锡市梁溪区薛福成故居,江苏省,WX,梁溪区,320213,120.295938,31.57104,无锡薛福成故居,薛福成,120.2913427,31.57294701,7,"120.295938,31.57104",4A,
江苏省徐州市泉山区云龙湖景区,江苏省,XZ,泉山区,320311,117.138972,34.24665,徐州云龙湖景区,云龙湖,117.1331249,34.24779654,33,"117.138972,34.24665",5A,
江苏省徐州市新沂市马陵山景区,江苏省,XZ,新沂市,320381,118.34692,34.19528,新沂马陵山景区,马陵山,118.3412771,34.1964471,82,"118.34692,34.19528",4A,
江苏省苏州市常熟市常熟,江苏省,SZ,常熟市,320581,120.803963,31.554395,常熟沙家浜景区,沙家浜,120.7996338,31.55638308,3,"120.803963,31.554395",5A,苏州沙家浜·虞山尚湖旅游区景点
江苏省苏州市昆山市锦溪古镇,江苏省,SZ,昆山市,320583,120.899876,31.17649,昆山锦溪古镇,锦溪,120.8957273,31.17872896,8,"120.899876,31.17649",4A,
江苏省苏州市昆山市亭林园,江苏省,SZ,昆山市,320583,120.949646,31.39079,昆山亭林园景区,亭林,120.9454149,31.39289141,61,"120.949646,31.39079",4A,
江苏省苏州市吴江区静思园,江苏省,SZ,吴江区,320509,120.687515,31.16027,吴江静思园景区,静思园,120.683232,31.16240043,2,"120.687515,31.16027",4A,
江苏省淮安市淮安区周恩来纪念馆,江苏省,HA,淮安区,320803,119.150375,33.51587,淮安周恩来纪念馆,周恩来纪念馆,119.1448109,33.51721338,4,"119.150375,33.51587",5A,淮安周恩来故里景区景点
江苏省扬州市广陵区个园,江苏省,YZ,广陵区,321002,119.443762,32.399,扬州个园,个园,119.4383335,32.40091479,10,"119.443762,32.399",4A,
江苏省扬州市广陵区何园,江苏省,YZ,广陵区,321002,119.44885,32.38569,扬州何园,何园,119.443436,32.3876153,11,"119.44885,32.38569",4A,
江苏省镇江市润州区镇江博物馆,江苏省,ZJ,润州区,321111,119.432106,32.21332,镇江博物馆,镇江博物馆,119.4266698,32.21520991,20,"119.432106,32.21332",4A,
江苏省泰州市姜堰区姜堰,江苏省,TZ,姜堰区,321204,120.093955,32.623122,姜堰溱湖旅游区,溱湖,120.0889313,32.62493807,0,"120.093955,32.623122",5A,
江苏省苏州市姑苏区寒山寺,江苏省,SZ,姑苏区,320508,120.568292,31.3102,苏州寒山寺景区,寒山寺,120.5640903,31.31236448,10,"120.568292,31.3102",4A,
江苏省苏州市姑苏区戒幢律寺,江苏省,SZ,姑苏区,320508,120.58826,31.31421,苏州西园戒幢律寺,西园,120.5840838,31.31639023,4,"120.58826,31.31421",4A,
